,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username,coordinates,lat,long,geometry
10,ta p traffic accident pin block ne th ave portland portland fire rp pdx,0.14634636429649606,0.13213553236227776,1,"TA1P - TRAFFIC ACCIDENT - PIN IN at 800 BLOCK OF NE 47TH AVE, PORTLAND, OR [Portland Fire #RP18000096772] 14:59 #pdx911",Mult Co Fire/EMS log,"(39.872440859140795, -121.56970692588142)",39.872440859140795,-121.56970692588142,POINT (-121.5697069258814 39.8724408591408)
11,camp fire closure oroville hwy nb sb pentz rd ca traffic,0.13799895541166207,0.1288189735678611,1,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic http://bit.ly/Y31VAF ,TTWN Sacramento,"(39.759480966932024, -121.70673759276558)",39.759480966932024,-121.70673759276558,POINT (-121.7067375927656 39.75948096693202)
12,med medical block n commercial ave portland portland fire rp pdx,0.14466211237296378,0.13625650839242806,1,"MED - MEDICAL at 7000 BLOCK OF N COMMERCIAL AVE, PORTLAND, OR [Portland Fire #RP18000096759] 13:52 #pdx911",Mult Co Fire/EMS log,"(39.74256184694825, -121.61477945495041)",39.74256184694825,-121.61477945495041,POINT (-121.6147794549504 39.74256184694825)
13,med medical block se hawthorne blvd portland portland fire rp pdx,0.14580606784520928,0.13410082201356954,1,"MED - MEDICAL at 3700 BLOCK OF SE HAWTHORNE BLVD, PORTLAND, OR [Portland Fire #RP18000096764] 14:15 #pdx911",Mult Co Fire/EMS log,"(39.804950286156334, -121.54723666012849)",39.804950286156334,-121.54723666012849,POINT (-121.5472366601285 39.80495028615633)
14,underway vegasgoldenknights paying tribute cancer victim survivor puck drop always get lump throat take breath one lucky one,0.1493058398925993,0.14704810177448294,1,We’re underway! vegasgoldenknights paying tribute to #cancer victims and survivors before the puck drop. Always get a lump in my throat and take a breath. I’m one of the lucky ones!… https://www.instagram.com/p/BqinYjoHL91/?utm_source=ig_twitter_share&igshid=hzg71duogo1p …,Jon Castagnino,"(39.94769258467791, -121.60017984392826)",39.94769258467791,-121.60017984392826,POINT (-121.6001798439283 39.94769258467791)
15,med medical block ne th ave portland portland fire rp pdx,0.14870067712941598,0.1374521647996507,1,"MED - MEDICAL at 700 BLOCK OF NE 78TH AVE, PORTLAND, OR [Portland Fire #RP18000096775] 15:03 #pdx911",Mult Co Fire/EMS log,"(39.72731801181692, -121.72168478067314)",39.72731801181692,-121.72168478067314,POINT (-121.7216847806731 39.72731801181692)
16,med medical se nd ave se johnson creek blvd portland portland fire rp pdx,0.14999796821510747,0.13531703387291202,1,"MED - MEDICAL at SE 32ND AVE / SE JOHNSON CREEK BLVD, PORTLAND, OR [Portland Fire #RP18000096791] 15:48 #pdx911",Mult Co Fire/EMS log,"(39.81084485312914, -121.55131739188046)",39.81084485312914,-121.55131739188046,POINT (-121.5513173918805 39.81084485312914)
17,valley fire valley fire state park,0.14453894480901894,0.1418607040216749,1,Valley of Fire @ Valley of Fire State Park https://www.instagram.com/p/BqisXQFgUcm/?utm_source=ig_twitter_share&igshid=l1bab5mn5jmd …,MichelleBot,"(39.83636519860982, -121.56892225565763)",39.83636519860982,-121.56892225565763,POINT (-121.5689222556576 39.83636519860982)
18,med medical block ne rodney ave portland portland fire rp pdx,0.14507397163970553,0.1312401242898544,1,"MED - MEDICAL at 2000 BLOCK OF NE RODNEY AVE, PORTLAND, OR [Portland Fire #RP18000096784] 15:32 #pdx911",Mult Co Fire/EMS log,"(39.79404025365699, -121.56504065443619)",39.79404025365699,-121.56504065443619,POINT (-121.5650406544362 39.79404025365699)
19,special shout llyk comin fire video downtown long beach,0.1447833856921384,0.13316606022505698,1,Special shout out to @m0llyk4y for comin through with the fire video   @ Downtown Long Beach https://www.instagram.com/p/BqiroLnBHjY/?utm_source=ig_twitter_share&igshid=1bftkxvhtu83w …,Houdini,"(39.853943142849964, -121.5991750735991)",39.853943142849964,-121.5991750735991,POINT (-121.5991750735991 39.85394314284996)
20,thanks iloveomfoods saturday nov om food free meal survivor camp fire serve vegan meal affected camp fire,0.15570410254667946,0.1478543501282441,1,"Thanks to @iloveomfoods
・・・
Saturday Nov 24 at OM FOODS - 200 free meals to all the survivors from the Camp Fire!! -
We will serve a vegan meal to all those affected by the Camp Fire.  -… https://www.instagram.com/p/BqirQKcnpgu/?utm_source=ig_twitter_share&igshid=pph6r1ksz59m …",Chico Vegan,"(39.68110170501988, -121.4775962586921)",39.68110170501988,-121.4775962586921,POINT (-121.4775962586921 39.68110170501988)
21,med medical block ne tillamook st portland portland fire rp pdx,0.1483638250738756,0.14414186033262855,1,"MED - MEDICAL at 7100 BLOCK OF NE TILLAMOOK ST, PORTLAND, OR [Portland Fire #RP18000096762] 13:57 #pdx911",Mult Co Fire/EMS log,"(39.955582067672886, -121.5691210571747)",39.955582067672886,-121.5691210571747,POINT (-121.5691210571747 39.95558206767289)
22,med medical block sw canyon rd portland portland fire rp pdx,0.14052755654093024,0.1264532644595647,1,"MED - MEDICAL at 4000 BLOCK OF SW CANYON RD, PORTLAND, OR [Portland Fire #RP18000096767] 14:43 #pdx911",Mult Co Fire/EMS log,"(39.701698295036, -121.67162367318555)",39.701698295036,-121.67162367318555,POINT (-121.6716236731856 39.701698295036)
23,almcom monitored commercial fire alarm block ne broadway portland portland fire rp pdx,0.1375214663800915,0.13502849873370756,1,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 1200 BLOCK OF NE BROADWAY , PORTLAND, OR [Portland Fire #RP18000096773] 14:59 #pdx911",Mult Co Fire/EMS log,"(39.710353893460464, -121.54381737610336)",39.710353893460464,-121.54381737610336,POINT (-121.5438173761034 39.71035389346046)
24,med medical sw rd ave sw yamhill st portland portland fire rp pdx,0.14481831796951722,0.1428648250353236,1,"MED - MEDICAL at SW 3RD AVE / SW YAMHILL ST, PORTLAND, OR [Portland Fire #RP18000096766] 14:39 #pdx911",Mult Co Fire/EMS log,"(39.79788868598158, -121.62705061016152)",39.79788868598158,-121.62705061016152,POINT (-121.6270506101615 39.79788868598158)
25,ta p traffic accident pin block ne th ave portland portland fire rp pdx,0.14634636429649606,0.13213553236227776,1,"TA1P - TRAFFIC ACCIDENT - PIN IN at 800 BLOCK OF NE 47TH AVE, PORTLAND, OR [Portland Fire #RP18000096772] 14:59 #pdx911",Mult Co Fire/EMS log,"(39.76123967964322, -121.62026118703173)",39.76123967964322,-121.62026118703173,POINT (-121.6202611870317 39.76123967964322)
26,camp fire closure oroville hwy nb sb pentz rd ca traffic,0.13799895541166207,0.1288189735678611,1,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic http://bit.ly/Y31VAF ,TTWN Sacramento,"(39.696539396849786, -121.57700380341807)",39.696539396849786,-121.57700380341807,POINT (-121.5770038034181 39.69653939684979)
27,med medical block n commercial ave portland portland fire rp pdx,0.14466211237296378,0.13625650839242806,1,"MED - MEDICAL at 7000 BLOCK OF N COMMERCIAL AVE, PORTLAND, OR [Portland Fire #RP18000096759] 13:52 #pdx911",Mult Co Fire/EMS log,"(39.62974236679016, -121.67080293983369)",39.62974236679016,-121.67080293983369,POINT (-121.6708029398337 39.62974236679016)
28,med medical block se hawthorne blvd portland portland fire rp pdx,0.14580606784520928,0.13410082201356954,1,"MED - MEDICAL at 3700 BLOCK OF SE HAWTHORNE BLVD, PORTLAND, OR [Portland Fire #RP18000096764] 14:15 #pdx911",Mult Co Fire/EMS log,"(39.853835330643705, -121.4598037266734)",39.853835330643705,-121.4598037266734,POINT (-121.4598037266734 39.8538353306437)
